genres,acousticness_mean,danceability_mean,energy_mean,instrumentalness_mean,liveness_mean,loudness_mean,speechiness_mean,tempo_mean,valence_mean
classic rock,0.2668147467190445,0.5254330038344099,0.6063154783872091,0.0721294597470671,0.2192113603528552,-10.367957872626787,0.0605763456118704,123.09597631800136,0.5884981442324899
classic russian pop,0.7841761363636364,0.5780662878787879,0.2853772727272728,0.0007535181818181,0.1721079545454545,-15.239399621212122,0.1004640151515151,101.47857575757575,0.6991382575757575
classic russian rock,0.1573681944444444,0.5477152777777777,0.6655486111111112,0.0954342169444444,0.2876826388888889,-9.486513888888886,0.0337388888888888,135.40759722222222,0.4654444444444445
classic schlager,0.5689050000000001,0.569555,0.4191909999999999,0.0013556201,0.2227925,-12.52958,0.0573304999999999,111.536825,0.5584600000000001
classic soul,0.4189708025104275,0.5807479182970351,0.5171568600378538,0.0569043193605224,0.189614015759032,-10.801344809547912,0.0519913677220672,118.71724727603424,0.6655840822187936
classic soundtrack,0.7801593177987072,0.3177056667705791,0.2820010975160525,0.5722191220437071,0.192472916731703,-15.9727008445752,0.0524357837981282,103.48043739199784,0.2783975044805285
classic swedish pop,0.4321474509803921,0.5993294117647061,0.590726862745098,0.0769303872549019,0.1608247058823529,-10.424525490196078,0.0539929411764705,119.13776470588236,0.6498627450980394
classic tunisian pop,0.176,0.807,0.639,0.0001,0.059,-11.604,0.0416,103.956,0.6920000000000001
classic turkish pop,0.7281666666666667,0.4487222222222223,0.4991666666666668,0.0497403,0.3583888888888889,-10.681888888888889,0.0504944444444444,112.2575,0.5717222222222222
classic uk pop,0.3754638479796903,0.5572614961586172,0.5539411014307424,0.0329837984462416,0.1877872615432421,-10.42862205742677,0.055652344553779,119.35970775310922,0.6244348538003248
classic venezuelan pop,0.5824468429796161,0.6019012605042016,0.5917402779293536,0.0336719609957316,0.1348992230225424,-9.503035532394776,0.055747635720955,123.82223905926006,0.7893053130343046
classical,0.9230848689192328,0.3144252479947693,0.1640792008699146,0.5760118839862208,0.1721365308650138,-20.97263389850173,0.0534540746011425,103.15758348413011,0.2356251890056112
classical baritone,0.9460556694291374,0.3114176496124345,0.1942469837255536,0.1454954371989552,0.1951736215657103,-17.15212690355045,0.0580822194722839,98.20100405452573,0.2228467376389043
classical bass,0.9651962005884008,0.2985652085496288,0.2034779111536556,0.1829300704714396,0.258396609718396,-18.73953910916361,0.0676031817318471,92.88742942015617,0.1959121600186393
classical cello,0.973097351226316,0.2573467643785436,0.0908924854755272,0.8245381930387635,0.1422845579650162,-24.67057851321653,0.0498049350329872,104.78177035690298,0.2173836931186523
classical clarinet,0.9207366386554622,0.2907875443510737,0.1356530718954248,0.697769366782446,0.1549761437908496,-20.999323249299728,0.0502505975723622,101.51393398692812,0.249347385620915
classical contralto,0.9746178743961352,0.2957125603864735,0.1623873913043478,0.2956638812077294,0.1868214009661836,-19.79882512077295,0.0744788888888889,104.25292367149756,0.205847342995169
classical countertenor,0.9293333333333336,0.1975,0.0794166666666666,0.2840586666666666,0.1369666666666666,-24.5205,0.0457833333333333,138.39266666666668,0.1202499999999999
classical era,0.9610112948021712,0.374795236308852,0.1486625859318909,0.548126960499848,0.1509551189823212,-20.49400236397568,0.050937318450165,110.3671842107917,0.343930803383632
classical flute,0.912797435897436,0.3465976923076924,0.1478258974358974,0.6153076538461539,0.1360165384615384,-22.677575641025644,0.0465628205128205,103.67645256410258,0.319643076923077
classical guitar,0.9803550279307784,0.4106759818742919,0.0627329889448806,0.9064449141982108,0.1015598549943357,-28.711750055080262,0.0738434284151724,107.95821887690924,0.3242901859447634
classical harp,0.9777916666666668,0.3247916666666666,0.0635216666666666,0.746375,0.0995458333333333,-27.162666666666667,0.0451666666666666,97.83879166666668,0.1743583333333333
classical horn,0.9787032967032968,0.2039406593406593,0.0432668131868131,0.7683670329670329,0.1395010989010989,-25.584186813186808,0.0422461538461538,83.65793406593407,0.1674186813186813
classical mandolin,0.8064749999999999,0.473825,0.3863875,0.357255,0.1648375,-13.759975,0.07409,109.14325,0.5119125
classical mezzo-soprano,0.9598552781448996,0.2919405825223277,0.1773097838052517,0.1473724055703939,0.2447660324135261,-19.00995905522848,0.0666683890757873,98.7111595135301,0.1705731741359286
classical oboe,0.8987500000000002,0.3228,0.123625,0.8553749999999999,0.2873125,-21.46125,0.0478375,96.429875,0.287825
classical organ,0.7862731063070391,0.2504666209225626,0.1895636590765338,0.5512550793620672,0.1463018263757116,-20.410004324794432,0.0417664773651396,107.68524137300078,0.2446091743471582
classical performance,0.9234807826904928,0.3014029357684488,0.1380508517900688,0.5588136396566502,0.1541806067476766,-22.32679135612249,0.0474942681480689,104.48680272017592,0.217336971555713
classical piano,0.9849960428469224,0.3250729687833164,0.0667934657273666,0.8702915434567807,0.1045712592419712,-27.484670203328555,0.0442938889861044,96.2958667244087,0.1687270711318479
classical piano duo,0.9906666666666668,0.4026666666666667,0.0382666666666666,0.901,0.0682,-33.412,0.0532666666666666,76.58466666666669,0.2693333333333333
classical piano trio,0.9805555555555556,0.2724,0.0678222222222222,0.5077777777777778,0.1333555555555555,-27.231666666666666,0.0399333333333333,90.18511111111113,0.1982111111111111
classical saxophone,0.5259927999999999,0.2866799999999999,0.4424799999999999,0.337012,0.1974,-15.34988,0.0452,134.24688,0.3181159999999999
classical soprano,0.9536146818070804,0.3059581084696731,0.1638240997654847,0.1092629977442813,0.2322961410315427,-19.184382980407893,0.0696631348684246,102.24678593605124,0.1691913686834716
classical tenor,0.9152100087167124,0.321427402791198,0.1989618871030266,0.1405012273203298,0.2254516582759332,-17.82950766065989,0.0643457862742441,100.49198079262464,0.2124551133532801
classical trumpet,0.9346919191919192,0.3954545454545455,0.2197585858585858,0.7340080808080809,0.2565560606060606,-17.986646464646466,0.0587878787878787,118.76837373737378,0.3918656565656566
classify,0.6603037499999997,0.524760702614379,0.3475884150326798,0.4845055105637255,0.141954044117647,-12.826087254901966,0.0803528594771241,106.04812442810456,0.4207882352941177
clawhammer banjo,0.9675,0.528,0.2795,0.30800207,0.2285,-12.4625,0.0703,140.83350000000004,0.4155
clean comedy,0.7644885015741832,0.5671226780794962,0.6708889118457301,0.0061280368826249,0.7115127164502165,-12.97127353404172,0.8004096369539553,106.4018292601338,0.397590974025974
cleveland metal,0.0016085146428571,0.4407142857142857,0.9141428571428571,0.1640653714285714,0.1319571428571428,-5.270464285714286,0.1033607142857142,120.11117857142855,0.3309714285714286
coco,0.5669,0.6834,0.8295,6.998999999999999e-06,0.30721,-6.2752000000000026,0.05441,93.1757,0.9366
collage pop,0.2494766666666666,0.648625,0.7225416666666666,0.03340975,0.2855812499999999,-8.3854375,0.1202125,143.2227916666666,0.5208125
colombian hip hop,0.1030065,0.7077500000000001,0.8295,0.18875,0.097575,-6.1135,0.2287,146.12675000000004,0.7465
colombian pop,0.3208960124449524,0.7208163447015093,0.6690302820097039,0.0021102590931345,0.1544971961691136,-6.39156051340812,0.0752749419039065,120.4326090274668,0.6866928888233571
colombian rock,0.3108478666666667,0.7152333333333333,0.7419866666666668,0.1510073071333333,0.143868,-7.49858,0.049636,114.17180666666668,0.8044399999999999
columbus ohio indie,0.1008,0.5422500000000001,0.7435,0.004556375,0.3625,-6.2735,0.038675,120.9195,0.7785
comedy,0.6879529106705657,0.538918122113635,0.7009283092289815,0.0003897528865174,0.6387749510404439,-10.987202227965987,0.6511498314534432,103.65348243217304,0.4042325125663549
comedy rap,0.1714111029411764,0.7495500700280111,0.6642260154061626,0.0002016512044817,0.1408986694677871,-7.832769782913165,0.2119961484593837,120.59939793417368,0.7117739845938376
comedy rock,0.5864254810181191,0.6824861949956859,0.4485720448662639,0.4376844310504745,0.1763280414150129,-10.219570966350302,0.0888287532355479,108.5972161345988,0.5152176445211389
comic,0.4600600384821821,0.5961291744166489,0.6815126311429185,0.0204921807041715,0.3917627823463409,-8.962224930956452,0.3303093637837102,117.69800261930024,0.5495130978203516
comic metal,0.1001031837701577,0.5210775850611378,0.8059968877370192,0.119315827652955,0.2960611803340423,-6.305347188995216,0.1133538703925217,117.45492279704943,0.4561874889243312
commons,0.5539999999999999,0.6955,0.3694500000000001,0.418001295,0.396,-11.0985,0.1469,130.691,0.5765
complextro,0.0483150517628205,0.5966813141025641,0.7980870993589743,0.0640139172245192,0.2898765240384616,-4.595855496794871,0.1234254599358974,125.21556480769232,0.3342636618589743
compositional ambient,0.7621014181151169,0.3310402758176982,0.2361034570686514,0.7168549878023264,0.1346770213312492,-19.61135415881128,0.0446399723384339,108.76797000963364,0.201798502248964
concert band,0.9428484848484848,0.2906060606060606,0.1987151515151515,0.8197277387878789,0.529,-18.85909090909091,0.0486454545454545,160.65051515151515,0.2544242424242424
connecticut hardcore,0.0007831208333333,0.4221527777777778,0.9192222222222224,0.0894547499999999,0.1376333333333333,-5.492680555555557,0.0893430555555555,133.81062500000002,0.4329027777777777
connecticut indie,0.09535,0.6785,0.6785000000000001,0.001232,0.176,-4.956,0.0522,125.0205,0.1965
conscious hip hop,0.2140098196924078,0.6834578222217784,0.693839950361473,0.0329194743058629,0.2296041540358376,-7.620762689097173,0.2534480746853173,109.52236130189216,0.5875076843644341
contemporary choir,0.987,0.15565,0.02395,0.8915000000000001,0.0968,-29.108,0.0451,69.16649999999998,0.04755
contemporary classical,0.8829552647442165,0.251938862821766,0.1283839728331704,0.5969065610262301,0.1269073004235907,-26.068679191104604,0.0483294159335288,97.82587030384492,0.172503525985663
contemporary classical piano,0.9515339285714288,0.3382642857142857,0.0782940714285714,0.5368124733571429,0.1965758928571429,-30.93705357142857,0.0795435714285714,82.1374125,0.2529394642857143
contemporary country,0.2192631641710224,0.5848078535879222,0.6795653866968088,0.0222557766860421,0.1781592607287414,-6.342750112737229,0.0519700710153485,124.59991596764166,0.5373311692899865
contemporary folk,0.54585,0.55875,0.3508,4.3375e-06,0.313925,-12.95775,0.0352375,126.789375,0.563
contemporary gospel,0.3410632705627704,0.5012825517075518,0.6453178287638289,0.0027590561927609,0.3565543068783069,-8.777409167869171,0.0894164348244348,118.15842116883115,0.505357858104858
contemporary jazz,0.7699685646051847,0.4333181473213503,0.2651661457649576,0.5583294694248706,0.148231888166129,-17.487227693041042,0.0470832529866805,114.0883911916242,0.3147248475493432
