mbti,danceability_mean,energy_mean,loudness_mean,speechiness_mean,acousticness_mean,liveness_mean,valence_mean,tempo_mean,instrumentalness_mean
INTP,0.5870799999999999,0.6272,-6.872820000000001,0.072462,0.241471668,0.209554,0.462046,121.9542,0.0888416498
INTP,0.5910333333333335,0.5375633333333333,-9.6021,0.0761999999999999,0.4034370433333333,0.1397033333333333,0.4694333333333333,124.53233333333334,0.203770975
INTP,0.42042,0.8851600000000001,-4.803599999999999,0.154882,0.0639024516,0.2453719999999999,0.292466,127.11626,0.219495722
INTP,0.62662,0.5102800000000001,-8.947859999999999,0.083892,0.3997718879999999,0.197368,0.310712,124.77584,0.0077709028
INTP,0.6400199999999999,0.70328,-6.437980000000001,0.12497,0.160071202,0.24483,0.589132,129.46476,0.06500664
INTP,0.5625555555555555,0.6488888888888888,-8.13883333333333,0.0998055555555555,0.1937654666666666,0.1685388888888889,0.3785,127.51677777777776,0.1541945688888888
INTP,0.4458499999999999,0.5703,-7.995200000000001,0.045775,0.166799025,0.1369,0.350425,129.86255,0.044162035
INTP,0.4618,0.68878,-7.059679999999999,0.0564499999999999,0.101336368,0.1851,0.320944,125.07941999999998,0.032515353
INTP,0.64008,0.7547200000000001,-6.1042,0.07804,0.1611715999999999,0.166584,0.435384,118.30896,0.2785803019999999
INTP,0.5136,0.4070999999999999,-9.1735,0.0460379999999999,0.5798338000000001,0.172916,0.30059,119.25064,0.0403769496
INTP,0.519625,0.6250625,-6.629375,0.0434625,0.174264375,0.1687125,0.3734375,110.8345,0.021304475625
INTP,0.5729777777777778,0.6823555555555556,-6.931711111111111,0.0869488888888889,0.2184239955555555,0.1855799999999999,0.4427177777777777,124.73793333333332,0.1250460477777777
INTP,0.540942,0.5101,-11.42714,0.04421,0.4820728,0.138486,0.457458,111.22897999999998,0.5711632806
INTP,0.5553684210526316,0.7102105263157895,-6.729947368421053,0.0678184210526315,0.1815941665789474,0.2167157894736842,0.3833526315789474,120.23115789473684,0.2556035121052632
INTP,0.43526,0.6317,-8.750459999999999,0.047374,0.2232438056,0.1859499999999999,0.4169119999999999,139.03666,0.2230090865999999
INTP,0.6242399999999999,0.64038,-6.770160000000001,0.0797819999999999,0.262514688,0.16666,0.500672,133.07291999999998,0.0535106062
